index,Versión fabricación,Nivel explosión,Nº componentes,Texto breve-objeto,Grupo de artículos,Almacén producción,Ctd.componente (UMB),Nivel,Ruta (predecesor),Entrada en tabla,Modelo,pos_estructura
1,1,0,D01-FACAP,,FES*P,,1,0,0,0,RO2731.EA.A,0A
2,1,.1,D01-FACAPZ3,BOGIE PROBADO RA (Z3),Z00110000,P003,1,1,1,1,RO2731.EA.A,0A-1A
3,1,..2,D01-FACAPZ2,BOGIE RA (Z2),Z00120000,P003,1,2,1,2,RO2731.EA.A,0A-1A-2A
4,1,...3,D01-FACAPZ1,BASTIDOR EQUIPADO RA (Z1),Z00120000,P003,1,3,1,3,RO2731.EA.A,0A-1A-2A-3A
5,1,....4,D01A060199,SUBCONJUNTO TRACCION,Z00210000,P003,1,4,27,30,RO2731.EA.A,0A-1A-2A-3A-4[
6,1,....4,D01A190197,SUBCONUNTO FRENO -3-,Z00210000,P003,2,4,28,55,RO2731.EA.A,0A-1A-2A-3A-4\
7,1,....4,D01B255200,CHORR.+IMPR.+PINTAR BAS. RA-RD,31000000,P003,1,4,29,64,RO2731.EA.A,0A-1A-2A-3A-4]
8,1,.....5,D01-FESAP,BASTIDOR MYANMAR,Z00460000,P003,1,5,42,74,RO2731.EA.A,0A-1A-2A-3A-4]-5j
9,2,......6,D01B250900,MEC. BASTIDOR P0000333726E,Z00550000,P003,1,6,1,75,RO2731.EA.A,0A-1A-2A-3A-4]-5j-6A
10,1,.......7,D01B251200,BASTIDOR RECOCIDO,Z00570000,P003,1,7,1,76,RO2731.EA.A,0A-1A-2A-3A-4]-5j-6A-7A
11,1,........8,D01B250800,M.SOPOR.+RECOCER BASTIDOR,Z00460000,P003,1,8,1,77,RO2731.EA.A,0A-1A-2A-3A-4]-5j-6A-7A-8A
13,1,.........9,D01B250700,ARMAR+SOLDAR BASTIDOR,Z00460000,P003,1,9,6,84,RO2731.EA.A,0A-1A-2A-3A-4]-5j-6A-7A-8A-9F
34,1,....4,D01A060198,SUBCONJUNTO BARRA,Z00210000,P003,1,4,32,173,RO2731.EA.A,0A-1A-2A-3A-4`
35,1,....4,D01A040199,SUBCONJUNTO ENGR.PESNTAÑA 1,Z00210000,P003,1,4,35,183,RO2731.EA.A,0A-1A-2A-3A-4c
36,1,....4,D01RAPOSE1,PREMONTAJES ELECTRICOS,Z00600000,P003,1,4,36,203,RO2731.EA.A,0A-1A-2A-3A-4d
37,1,....4,D01ATTRA,HORAS TUBERIA -RA-,Z00500000,P004,1,4,79,249,RO2731.EA.A,0A-1A-2A-3A-4
42,1,...3,D01A050196,SUBCONJUNTO EJE REMOLQUE 2,Z00210000,P003,1,3,7,301,RO2731.EA.A,0A-1A-2A-3G
43,1,...3,D01A050197,SUBCONJUNTO EJE REMOLQUE 1,Z00210000,P003,1,3,17,347,RO2731.EA.A,0A-1A-2A-3Q
44,1,...3,D01A430199,SUBCONJUNTO ESTRIBO,Z00210000,P003,1,3,42,409,RO2731.EA.A,0A-1A-2A-3j
