Order,Project Number,Material,Material description,Model (Effectivity),Z Unit,System Status,WBS Element,BOM Version,Production Version,Routing Version,Release date (actual),Order quantity (GMEIN),mod_ud
1000004265,RO-2731,D01-FACAPZ1,BASTIDOR EQUIPADO RA (Z1),RO2731.EA.A,10,REL  MSPT PCNF DLV  PRC  CSER EXPL EXTS*,RO-2731-1-T-B-P-SF,1.0,1,4.0,2024-01-10,1,RO2731.EA.A010
1000004275,RO-2731,D01-FACAPZ2,BOGIE RA (Z2),RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,2.0,1,3.0,2024-01-09,1,RO2731.EA.A010
1000004277,RO-2731,D01-FACAPZ3,BOGIE PROBADO RA (Z3),RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-09,1,RO2731.EA.A010
1000004278,RO-2731,D01-FACAP,AC.BOGIE REMOLQUE RA,RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-M-EA-A0010,1.0,1,1.0,2024-01-08,1,RO2731.EA.A010
1000004414,RO-2731,D01A050197,SUBCONJUNTO EJE REMOLQUE 1,RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-08,1,RO2731.EA.A010
1000011281,RO-2731,D01A050196,SUBCONJUNTO EJE REMOLQUE 2,RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,2.0,1,3.0,2024-01-16,1,RO2731.EA.A010
1000011665,RO-2731,D01A040199,SUBCONJUNTO ENGR.PESNTAÑA 1,RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-16,1,RO2731.EA.A010
1000011666,RO-2731,D01A190197,SUBCONUNTO FRENO -3-,RO2731.EA.A,10,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,3.0,2024-01-16,2,RO2731.EA.A010
1000011667,RO-2731,D01A060198,SUBCONJUNTO BARRA,RO2731.EA.A,10,REL  CNF  DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-16,1,RO2731.EA.A010
1000011668,RO-2731,D01A430199,SUBCONJUNTO ESTRIBO,RO2731.EA.A,10,REL  CNF  DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,3.0,2024-01-16,1,RO2731.EA.A010
38122134,RO-2731,D01A190197,SUBCONUNTO FRENO -3-,RO2731.EA.A,10,,RO-2731-1-T-B-P-SF,,1,,,1,RO2731.EA.A010
1000017353,RO-2731,D01-FACAPZ2,BOGIE RA (Z2),RO2731.EA.A,11,REL  MSPT PCNF DLV  PRC  EXPL EXTS GMPS*,RO-2731-1-T-B-P-SF,2.0,1,3.0,2024-01-22,1,RO2731.EA.A011
1000017354,RO-2731,D01A430199,SUBCONJUNTO ESTRIBO,RO2731.EA.A,11,REL  MSPT CNF  DLV  PRC  EXPL EXTS GMPS*,RO-2731-1-T-B-P-SF,2.0,1,4.0,2024-01-22,1,RO2731.EA.A011
1000017355,RO-2731,D01A060198,SUBCONJUNTO BARRA,RO2731.EA.A,11,REL  CNF  DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-22,1,RO2731.EA.A011
1000017356,RO-2731,D01-FACAPZ3,BOGIE PROBADO RA (Z3),RO2731.EA.A,11,REL  CNF  DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-22,1,RO2731.EA.A011
1000017357,RO-2731,D01A050197,SUBCONJUNTO EJE REMOLQUE 1,RO2731.EA.A,11,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,2.0,1,3.0,2024-01-23,1,RO2731.EA.A011
1000017358,RO-2731,D01A040199,SUBCONJUNTO ENGR.PESNTAÑA 1,RO2731.EA.A,11,REL  MSPT PCNF DLV  PRC  EXPL EXTS GMPS*,RO-2731-1-T-B-P-SF,1.0,1,2.0,2024-01-22,1,RO2731.EA.A011
1000017359,RO-2731,D01A050196,SUBCONJUNTO EJE REMOLQUE 2,RO2731.EA.A,11,REL  MSPT PCNF DLV  PRC  EXPL EXTS GMPS*,RO-2731-1-T-B-P-SF,2.0,1,3.0,2024-01-22,1,RO2731.EA.A011
1000017800,RO-2731,D01A190197,SUBCONUNTO FRENO -3-,RO2731.EA.A,11,REL  PCNF DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-P-SF,1.0,1,3.0,2024-01-22,2,RO2731.EA.A011
1000017801,RO-2731,D01-FACAP,AC.BOGIE REMOLQUE RA,RO2731.EA.A,11,REL  CNF  DLV  PRC  EXPL EXTS GMPS HAOP*,RO-2731-1-T-B-M-EA-A0011,1.0,1,1.0,2024-01-22,1,RO2731.EA.A011
1000017808,RO-2731,D01-FACAPZ1,BASTIDOR EQUIPADO RA (Z1),RO2731.EA.A,11,REL  MSPT PCNF DLV  PRC  CSER EXPL EXTS*,RO-2731-1-T-B-P-SF,1.0,1,4.0,2024-01-22,1,RO2731.EA.A011
